fund_id,fund_name,manager_name,fund_type,strategy,vintage_year,inception_date,fund_size_usd_millions,original_currency,original_fund_size,target_size_usd_millions,status,geography,sector_focus,administrator,last_updated,standardization_timestamp,data_quality_passed
HF014,Peak Fund V,Tiger Global Management,Hedge Fund,Global Macro,2024,2024-01-02,12015.12,USD,12015.12,,Investing,North America,Industrials,Northern Trust,2025-10-13,2025-11-13T22:55:14.132704,0
HF015,Omega Fund V,Bridgewater Associates,Hedge Fund,Event Driven,2017,2017-10-01,5467.6720000000005,CHF,4881.85,6058.416000000001,Investing,North America,Technology,SS&C Technologies,2025-10-12,2025-11-13T22:55:14.132704,0
HF016,Alpha Fund VI,Blackstone Group,Hedge Fund,Multi-Strategy,2020,2020-01-06,4715.15,USD,4715.15,4822.32,Fundraising,Global,Multi-Sector,BNY Mellon,2025-10-29,2025-11-13T22:55:14.132704,0
HF017,Beta Fund VI,KKR & Co,Hedge Fund,Quantitative,2023,2023-04-20,1735.6788,EUR,1607.11,1916.6976000000002,Liquidated,Middle East,Technology,SS&C Technologies,2025-09-21,2025-11-13T22:55:14.132704,0
HF018,Omega Fund VI,TPG Capital,Hedge Fund,Quantitative,2016,2016-08-23,13735.81,USD,13735.81,,Investing,North America,Financial Services,Pending Assignment,2025-09-02,2025-11-13T22:55:14.132704,0
HF019,Prime Fund I,Warburg Pincus,Hedge Fund,Event Driven,2021,2021-10-17,5128.57,USD,5128.57,5942.06,Fundraising,Middle East,Industrials,Citco,2025-09-20,2025-11-13T22:55:14.132704,0
HF020,Omega Fund IV,Warburg Pincus,Hedge Fund,Event Driven,2022,2022-07-14,11214.58,USD,11214.58,11786.28,Investing,Middle East,Multi-Sector,SS&C Technologies,2025-10-31,2025-11-13T22:55:14.132704,0
HF021,Gamma Fund IV,Blackstone Group,Hedge Fund,Quantitative,2016,2016-12-24,6217.06,USD,6217.06,,Harvesting,Middle East,Healthcare,Citco,2025-09-18,2025-11-13T22:55:14.132704,0
HF022,Alpha Fund VI,Bridgewater Associates,Hedge Fund,Long/Short Equity,2019,2019-10-10,5923.05,USD,5923.05,,Liquidated,Europe,Healthcare,Citco,2025-10-28,2025-11-13T22:55:14.132704,0
HF023,Omega Fund V,TPG Capital,Hedge Fund,Event Driven,2024,2024-04-26,7007.57,USD,7007.57,7878.92,Fundraising,Latin America,Consumer,SS&C Technologies,2025-10-03,2025-11-13T22:55:14.132704,0
HF024,Gamma Fund V,Renaissance Technologies,Hedge Fund,Event Driven,2020,2020-01-06,13178.08,USD,13178.08,13552.01,Fundraising,North America,Industrials,Citco,2025-10-22,2025-11-13T22:55:14.132704,0
HF025,Beta Fund VI,Acme Capital Partners,Hedge Fund,Event Driven,2019,2019-12-11,11875.7,USD,11875.7,,Fundraising,Europe,Financial Services,BNY Mellon,2025-04-26,2025-11-13T22:55:14.132704,0
HF026,Omega Fund VI,KKR & Co,Hedge Fund,Event Driven,2022,2022-11-14,7799.26,USD,7799.26,,Fundraising,Asia Pacific,Real Estate,SS&C Technologies,2025-08-28,2025-11-13T22:55:14.132704,0
HF027,Delta Fund II,TPG Capital,Hedge Fund,Quantitative,2023,2023-11-10,1635.84,USD,1635.84,1638.35,Harvesting,Europe,Financial Services,BNY Mellon,2025-10-27,2025-11-13T22:55:14.132704,0
HF028,Prime Fund II,Acme Capital Partners,Hedge Fund,Long/Short Equity,2022,2022-12-14,3459.73,USD,3459.73,3805.88,Harvesting,North America,Real Estate,BNY Mellon,2025-05-12,2025-11-13T22:55:14.132704,0
HF029,Alpha Fund V,TPG Capital,Hedge Fund,Quantitative,2016,2016-06-19,7009.98,USD,7009.98,7415.88,Liquidated,North America,Energy,SS&C Technologies,2025-09-14,2025-11-13T22:55:14.132704,0
HF030,Prime Fund IV,Apollo Global Management,Hedge Fund,Event Driven,2016,2016-07-28,2482.08,USD,2482.08,2521.12,Harvesting,Middle East,Energy,SS&C Technologies,2025-11-02,2025-11-13T22:55:14.132704,0
VC001,Alpha Fund I,Renaissance Technologies,Venture Capital,Early Stage,2023,2023-09-07,1821.25,USD,1821.25,2119.55,Investing,Europe,Healthcare,SS&C Technologies,2025-08-26,2025-11-13T22:55:14.132704,0
VC002,Prime Fund III,Tiger Global Management,Venture Capital,Late Stage,2016,2016-03-25,1293.1,USD,1293.1,1442.96,Harvesting,Middle East,Energy,SS&C Technologies,2025-01-23,2025-11-13T22:55:14.132704,0
VC003,Delta Fund I,Tiger Global Management,Venture Capital,Seed,2019,2019-10-02,768.69,USD,768.69,774.47,Harvesting,Asia Pacific,Healthcare,State Street,2025-10-31,2025-11-13T22:55:14.132704,0
VC004,Delta Fund V,Warburg Pincus,Venture Capital,Growth,2022,2022-10-18,2066.0832,EUR,1913.04,,Investing,Asia Pacific,Multi-Sector,Northern Trust,2025-09-15,2025-11-13T22:55:14.132704,0
VC005,Beta Fund I,Apollo Global Management,Venture Capital,Early Stage,2020,2020-12-03,1058.64,USD,1058.64,,Liquidated,Global,Financial Services,Citco,2025-09-23,2025-11-13T22:55:14.132704,0
VC006,Peak Fund I,TPG Capital,Venture Capital,Growth,2020,2020-11-20,199.49,USD,199.49,212.64,Liquidated,Asia Pacific,Consumer,State Street,2025-08-26,2025-11-13T22:55:14.132704,0
VC007,Gamma Fund II,Benchmark Capital,Venture Capital,Late Stage,2020,2020-02-19,1728.2921999999999,GBP,1360.86,1955.0634000000002,Liquidated,Europe,Healthcare,Citco,2025-09-30,2025-11-13T22:55:14.132704,0
VC008,Peak Fund V,Benchmark Capital,Venture Capital,Late Stage,2023,2023-02-21,1373.87,USD,1373.87,,Harvesting,Europe,Industrials,Citco,2025-10-18,2025-11-13T22:55:14.132704,0
VC009,Gamma Fund III,Tiger Global Management,Venture Capital,Late Stage,2017,2017-03-03,714.96,EUR,662.0,792.1476000000001,Fundraising,Middle East,Energy,Pending Assignment,2025-08-27,2025-11-13T22:55:14.132704,0
VC010,Summit Fund II,Silver Lake Partners,Venture Capital,Growth,2017,2017-03-06,1813.9248,EUR,1679.56,1873.9836000000003,Liquidated,North America,Real Estate,Citco,2025-09-16,2025-11-13T22:55:14.132704,0
VC011,Delta Fund VI,Andreessen Horowitz,Venture Capital,Seed,2022,2022-04-18,3.7146139999999996,JPY,554.42,4.386222,Investing,Asia Pacific,Multi-Sector,Northern Trust,2025-09-24,2025-11-13T22:55:14.132704,0
VC012,Omega Fund IV,Benchmark Capital,Venture Capital,Growth,2017,2017-04-26,1586.0521999999999,GBP,1248.86,,Liquidated,Asia Pacific,Healthcare,State Street,2025-10-27,2025-11-13T22:55:14.132704,0
VC013,Prime Fund IV,Warburg Pincus,Venture Capital,Seed,2016,2016-03-09,953.71,USD,953.71,971.2,Investing,Global,Energy,Pending Assignment,2025-09-22,2025-11-13T22:55:14.132704,0
VC014,Peak Fund I,KKR & Co,Venture Capital,Seed,2018,2018-07-03,812.33,USD,812.33,948.67,Harvesting,Europe,Financial Services,SS&C Technologies,2025-09-12,2025-11-13T22:55:14.132704,0
VC015,Delta Fund II,Blackstone Group,Venture Capital,Late Stage,2022,2022-08-20,109.98,USD,109.98,,Investing,Latin America,Real Estate,SS&C Technologies,2025-10-04,2025-11-13T22:55:14.132704,0
VC016,Beta Fund III,Apollo Global Management,Venture Capital,Early Stage,2015,2015-04-14,1314.01,USD,1314.01,,Liquidated,Latin America,Technology,State Street,2025-10-24,2025-11-13T22:55:14.132704,0
VC017,Alpha Fund V,Blackstone Group,Venture Capital,Seed,2021,2021-01-20,770.35,USD,770.35,,Fundraising,Latin America,Energy,SS&C Technologies,2025-09-08,2025-11-13T22:55:14.132704,0
VC018,Delta Fund V,Acme Capital Partners,Venture Capital,Early Stage,2021,2021-08-02,1464.7024000000001,CHF,1307.77,,Fundraising,Asia Pacific,Healthcare,Citco,2025-08-23,2025-11-13T22:55:14.132704,0
VC019,Delta Fund I,Sequoia Capital,Venture Capital,Early Stage,2024,2024-12-25,731.79,USD,731.79,850.85,Investing,Middle East,Multi-Sector,Pending Assignment,2025-10-19,2025-11-13T22:55:14.132704,0
VC020,Beta Fund VI,Benchmark Capital,Venture Capital,Late Stage,2016,2016-12-25,1892.85,USD,1892.85,,Investing,North America,Energy,Pending Assignment,2025-09-03,2025-11-13T22:55:14.132704,0
VC021,Alpha Fund II,Silver Lake Partners,Venture Capital,Growth,2019,2019-01-25,1329.11,USD,1329.11,1341.82,Harvesting,Asia Pacific,Healthcare,BNY Mellon,2025-09-21,2025-11-13T22:55:14.132704,0
VC022,Beta Fund I,Acme Capital Partners,Venture Capital,Growth,2021,2021-06-06,1042.79,USD,1042.79,1151.09,Fundraising,Middle East,Real Estate,SS&C Technologies,2025-10-19,2025-11-13T22:55:14.132704,0
VC023,Prime Fund I,Benchmark Capital,Venture Capital,Seed,2020,2020-02-03,723.05,USD,723.05,826.83,Investing,Middle East,Multi-Sector,Citco,2025-02-15,2025-11-13T22:55:14.132704,0
VC024,Delta Fund III,Carlyle Group,Venture Capital,Growth,2019,2019-11-26,1901.02,USD,1901.02,2039.15,Investing,North America,Financial Services,BNY Mellon,2025-09-16,2025-11-13T22:55:14.132704,0
VC025,Peak Fund II,Acme Capital Partners,Venture Capital,Early Stage,2017,2017-02-08,1579.18,USD,1579.18,1758.34,Investing,Middle East,Multi-Sector,Pending Assignment,2025-11-02,2025-11-13T22:55:14.132704,0
